1358642942,0.4
1359926480,0.4
1361247017,0.38
1362431664,0.37
1363451352,0.35
1371837176,0.35
1377379923,0.33
1379287994,0.32
1381697447,0.31
1382589271,0.32
1384696101,0.32
1386006459,0.32
1389282370,0.3
1392660495,0.28
1396120747,0.26
1398558857,0.25
1400325510,0.25
1413985801,0.23
1415909771,0.21
1417784359,0.18
1418538324,0.17
1419618804,0.16
1421957406,0.15
1423681000,0.15
1425422100,0.12
1427018591,0.12
1428079262,0.1
1429298395,0.12
1431100186,0.12
1435470029,0.12
1436814828,0.13
1454008543,0.13
1462802116,0.12
1465915503,0.11
1473785024,0.1
1476552225,0.09
1479126733,0.09
1482006761,0.08
1483291648,0.07
1485447639,0.08
1500846139,0.07
1521098286,0.06
1523426186,0.07
1531990048,0.06
1539784744,0.04
1545155424,0.04
1547574905,0.04
1563982956,0.04
1567248627,0.04
1606432539,0.03
1610079653,0.04
1626245030,0.03
1642083978,0.03
1655660471,0.023
1659255510,0.028
1663643580,0.038
1670533560,0.025
1673785811,0.026
1680347055,0.021
1684157029,0.024
1689597695,0.023
1691324774,0.031
1697072618,0.026
1697904291,0.029
1704797971,0.024
1708129225,0.028
